Joint_1_x,Joint_1_y,Joint_1_z,Joint_2_x,Joint_2_y,Joint_2_z,Joint_3_x,Joint_3_y,Joint_3_z,Correct
-0.3575707,0.6362655,-2.446354,-0.5873622,0.7138206,-2.337131,-0.540579,0.9279995,-2.183031,1
-0.3583647,0.6333707,-2.44243,-0.5901749,0.7073763,-2.335026,-0.5429698,0.9213875,-2.18082,1
-0.3604844,0.6322982,-2.445349,-0.5934815,0.7017732,-2.337488,-0.5448261,0.9154927,-2.183329,1
-0.3615934,0.6288562,-2.45321,-0.5965531,0.6927245,-2.346143,-0.5472828,0.9057463,-2.191216,1
-0.3633491,0.628422,-2.453608,-0.6017203,0.6820909,-2.348502,-0.5526482,0.8928189,-2.190407,1
-0.3642957,0.6278131,-2.449167,-0.6037971,0.6779656,-2.344896,-0.5552152,0.8884812,-2.186368,1
-0.3635811,0.6285511,-2.455039,-0.6038476,0.6763949,-2.351446,-0.5569693,0.8867366,-2.192176,1
-0.3653494,0.6272489,-2.454946,-0.6071574,0.6702486,-2.352827,-0.5619763,0.8800837,-2.192401,1
-0.3657113,0.624763,-2.447806,-0.609238,0.6632567,-2.347998,-0.5671008,0.8741043,-2.188073,1
-0.3665758,0.6244328,-2.452719,-0.6121012,0.6539518,-2.354768,-0.5753026,0.8645337,-2.193184,1
-0.3656126,0.6239107,-2.448286,-0.6122588,0.6487228,-2.351857,-0.579244,0.8581448,-2.187965,1
-0.3664781,0.6220457,-2.445186,-0.6146278,0.6433319,-2.35182,-0.5849836,0.8524215,-2.186862,1
-0.3658141,0.6227066,-2.451555,-0.6140556,0.6440762,-2.358453,-0.5862482,0.85308,-2.193067,1
-0.3652277,0.6218498,-2.449205,-0.6139339,0.6410487,-2.356874,-0.5875595,0.8498747,-2.191029,1
-0.3657129,0.6222586,-2.453115,-0.6152574,0.6396328,-2.362704,-0.5919763,0.8477584,-2.195521,1
-0.3656542,0.6222981,-2.451441,-0.6157294,0.6375224,-2.362115,-0.5948159,0.8447518,-2.193512,1
-0.3660646,0.6216621,-2.451376,-0.6165276,0.6361786,-2.363024,-0.5968947,0.8434805,-2.194356,1
-0.365958,0.6210922,-2.451935,-0.6167194,0.6346674,-2.364282,-0.5984434,0.84135,-2.194704,1
-0.3639508,0.6200581,-2.454797,-0.6147312,0.634458,-2.367331,-0.5961037,0.8411652,-2.197822,1
-0.3651494,0.6200941,-2.452361,-0.6164193,0.6321162,-2.365947,-0.5980756,0.8391917,-2.196856,1
-0.3638834,0.6203257,-2.45871,-0.6155363,0.6330041,-2.373513,-0.5980509,0.8397697,-2.203953,1
-0.3640814,0.6191621,-2.455566,-0.6154635,0.631209,-2.369482,-0.597525,0.8382186,-2.200267,1
-0.3648414,0.6200886,-2.454896,-0.6162813,0.6307976,-2.368804,-0.599524,0.8377736,-2.199428,1
-0.3646575,0.6204194,-2.456085,-0.6163426,0.6315131,-2.370762,-0.6004137,0.8384975,-2.201316,1
