Time,Right_Angle,Left_Angle
4.410743713378906e-05,0,0
0.4123189449310303,-200.5765,-202.9366
0.4314019680023193,-198.4459,-203.1802
0.4472899436950684,-198.8513,-204.0276
0.4644629955291748,-198.5979,-205.2044
0.4811289310455322,-198.0773,-208.1427
0.4978699684143066,-196.1975,-209.3582
0.5145771503448486,-193.7189,-211.3963
0.5299279689788818,-191.5801,-213.0775
0.5477011203765869,-190.0626,-214.9033
0.5643119812011719,-189.2073,-217.0106
0.5798079967498779,-188.5942,-219.2235
0.5977299213409424,-188.0811,138.3072
0.6131789684295654,-183.952,137.1917
0.6310651302337646,-181.1676,136.3536
0.6476700305938721,-178.4415,135.7137
0.6630349159240723,-170.851,132.898
0.6809360980987549,-168.8724,132.0409
0.696382999420166,-161.6932,128.6311
0.7142651081085205,-157.5235,126.5309
0.7296359539031982,-151.2053,125.3823
0.7473759651184082,-145.7909,123.205
0.7639749050140381,-139.9942,120.8039
0.7806999683380127,-135.3225,118.9329
0.7971689701080322,-130.2381,118.0317
0.8138589859008789,-126.5433,116.5625
0.8295028209686279,-126.2551,114.7767
0.8471348285675049,-123.2306,113.1231
0.8627369403839111,-120.4788,110.9789
0.8804969787597656,-119.7289,109.472
0.8961150646209717,-115.9937,108.0762
0.9136850833892822,-116.2125,107.0118
0.93100905418396,-114.5913,104.8645
0.9459688663482666,-114.5913,104.8645
0.9639308452606201,-114.2242,104.4783
0.9791648387908936,-113.1675,103.0588
0.9968478679656982,-111.2338,100.31
1.012439966201782,-111.0614,99.41167
1.030231952667236,-110.7753,98.9893
1.045707941055298,-111.7613,98.05357
1.063659906387329,-110.878,98.07068
1.080176115036011,-110.504,97.1171
1.096904039382935,-110.4886,96.95699
1.11227011680603,-110.5093,96.01087
1.130239009857178,-109.4525,95.06248
1.145555973052979,-108.3495,94.05519
1.163540124893188,-107.3298,94.08856
1.179903984069824,-106.3261,93.48265
1.196604013442993,-106.2656,93.00247
1.212093114852905,-105.2651,92.78421
1.229817152023315,-103.9881,92.32407
1.245440006256104,-101.7027,92.48426
1.263240098953247,-100.8125,91.63739
1.279898881912231,-99.22546,91.63694
1.295480966567993,-98.66132,91.59361
1.313115835189819,-99.08389,91.4745
1.330034017562866,-98.86356,91.6663
1.346276998519897,-98.35392,90.27338
1.361943006515503,-96.76225,88.51077
1.379575967788696,-94.13004,87.28709
1.396168947219849,-93.56437,86.11105
1.413182973861694,-93.8022,85.04508
1.429702043533325,-94.49174,83.50214
1.445089101791382,-95.42843,82.62228
1.462996006011963,95.8945,82.80424
1.479399919509888,96.03412,83.46786
1.496066808700562,96.50204,84.37564
1.512619972229004,97.87439,85.43938
1.528366804122925,98.59552,86.99027
1.54584002494812,98.74142,87.9865
1.562732934951782,99.39465,88.59847
1.579201936721802,100.7906,90.62498
1.595878839492798,101.4408,92.52261
1.612470865249634,102.3232,93.23443
1.629094839096069,102.3777,93.09326
